ticker,year,month_name,sentiment,news_count,avg_daily_return
DLTR,2022,March,neutral,2,0.1999969482421875
DXCM,2012,October,neutral,2,-0.12249994277954102
DXCM,2012,October,negative,2,-0.11249995231628418
DXCM,2013,August,neutral,2,0.06750011444091797
DXCM,2016,June,negative,2,0.5874996185302734
DXCM,2017,January,positive,2,1.442499160766598
DXCM,2017,October,positive,2,0.3199996948242152
DXCM,2017,September,positive,2,-0.9299983978271484
DXCM,2019,February,neutral,2,0.6650009155273438
DXCM,2020,October,positive,2,-4.305000305175781
EA,2010,May,negative,2,0.43000030517578125
EA,2011,February,neutral,2,0.03999996185302557
EA,2019,February,neutral,2,1.0699996948242188
EA,2019,February,negative,2,-0.45999908447265625
EA,2019,July,neutral,2,0.6399993896484375
EA,2019,July,negative,2,-4.1699981689453125
EA,2019,July,positive,2,-1.5
EA,2019,May,neutral,2,2.25
EA,2020,May,positive,2,3.3600006103515767
EA,2020,May,negative,2,-1.3099975585937358
EBAY,2020,April,negative,2,0.6900024414062429
EBAY,2020,November,positive,2,-1.5400009155273438
EBAY,2021,April,positive,2,-1.220001220703125
EBAY,2021,July,positive,2,2.2099990844726562
EBAY,2021,July,negative,2,-3.8499984741210938
EBAY,2021,October,positive,2,-1.6199951171875
EBAY,2022,August,positive,2,1.4799995422363281
ENPH,2019,August,neutral,2,-1.8300018310546875
ENPH,2020,December,positive,2,-1.470001220703125
ENPH,2021,April,positive,2,-3.4499969482421875
ENPH,2021,February,positive,2,2.3400115966796307
ENPH,2021,October,positive,4,7.114997863769531
ENPH,2021,September,neutral,2,-0.220001220703125
ENPH,2022,January,negative,2,-17.360000610351562
EPAM,2017,July,positive,2,0.9500045776367188
EPAM,2017,June,positive,2,-0.6200027465820312
EPAM,2017,March,positive,4,0.3149986267089844
EPAM,2017,October,negative,2,0.23999786376953125
EPAM,2017,October,neutral,2,0.10000610351563921
EPAM,2018,May,positive,2,-1.4099960327148438
EQIX,2019,September,negative,2,1.6500244140625
EQIX,2020,December,negative,2,13.44000244140625
EQIX,2021,February,positive,2,-4.25
EQIX,2021,September,neutral,2,-1.16998291015625
EXPD,2010,August,negative,2,-0.04000091552734375
EXPD,2010,August,positive,2,0.9300003051757812
EXPD,2010,February,positive,2,0.43000030517578125
EXPD,2010,February,neutral,2,0.43000030517578125
EXPD,2010,February,negative,2,0.3699989318847656
EXPD,2010,July,positive,4,0.6849994659423828
EXPD,2010,July,negative,2,0.75
EXPD,2010,March,positive,2,0.12999725341796875
EXPD,2022,April,neutral,2,-1.1699981689453267
EXPE,2016,December,neutral,2,1.7899932861328267
EXPE,2017,May,negative,2,-0.5699920654296875
EXPE,2018,February,positive,2,-6.100006103515625
EXPE,2019,February,neutral,2,-4.1999969482421875
EXPE,2019,November,negative,4,-16.860000610351562
EXPE,2019,October,positive,2,0.410003662109375
EXPE,2020,December,neutral,2,-1.1199951171875284
FANG,2012,October,positive,2,0
FANG,2021,December,neutral,4,-0.2799987792968821
FANG,2021,October,neutral,2,3.5900039672851562
FANG,2022,August,neutral,2,-0.94000244140625
FANG,2022,June,neutral,2,1.0500030517578125
FAST,2016,July,positive,2,0.020000457763671875
FAST,2017,July,neutral,2,0.3400001525878942
FAST,2017,March,negative,2,-0.1700000762939453
FAST,2017,October,positive,2,0.14500045776367543
FAST,2020,August,negative,2,0.40000152587890625
FAST,2021,June,neutral,2,0.6100006103515625
FAST,2022,December,negative,2,0.6999969482421875
FITB,2007,August,neutral,2,0.4099998474121094
FITB,2018,May,positive,2,-0.6400012969970668
FITB,2020,January,positive,2,-0.23999977111816762
FITB,2021,March,positive,2,0.40000152587891336
FITB,2021,October,negative,2,-1.3599967956542898
FITB,2022,January,negative,2,-0.4500007629394531
FSLR,2022,April,negative,2,-1.0699996948242188
FSLR,2022,May,negative,2,-0.5999984741210938
FTNT,2010,March,neutral,2,-0.031999945640563965
FTNT,2010,November,neutral,2,-0.1359999179840088
FTNT,2010,September,positive,2,-0.05999994277954057
FTNT,2011,January,neutral,2,0.4079999923706059
GILD,2012,October,neutral,2,-0.1750030517578125
GILD,2014,April,neutral,2,-1.8700027465820312
GILD,2020,July,negative,2,0.04000091552734375
GILD,2020,June,positive,2,-0.8100051879882812
GILD,2020,May,positive,2,-1.25
GILD,2020,November,negative,2,0.13000106811523438
GILD,2020,October,positive,2,-0.5900001525878906
GILD,2020,September,negative,2,1.899993896484375
GILD,2021,April,neutral,2,-0.399993896484375
GRMN,2007,November,negative,2,-6.8000030517578125
GRMN,2008,April,positive,2,-1.4399986267089844
GRMN,2008,February,positive,2,-1.3300018310546804
GRMN,2008,July,neutral,2,-1
GRMN,2008,June,neutral,2,-0.11999893188476562
GRMN,2009,August,negative,2,1.3499984741210938
GRMN,2009,December,neutral,2,0.09000015258789062
GRMN,2009,May,positive,2,0.15999984741211293
GRMN,2009,October,neutral,2,-1.5699996948242188
GRMN,2009,September,neutral,2,1.9799995422363281
HAS,2021,April,positive,2,2.2099990844726705
HAS,2021,February,neutral,2,0.67999267578125
HAS,2021,February,negative,2,0.67999267578125
HAS,2021,February,positive,2,-6.459999084472656
HAS,2021,June,neutral,2,-0.2599945068359091
HAS,2021,October,positive,2,-0.15999603271484375
HAS,2022,February,positive,4,-2.204998016357429
HAS,2022,November,neutral,2,-0.9500007629394531
HAS,2022,October,neutral,2,-2.4799957275390625
HBAN,2009,August,neutral,2,-0.3000001907348633
HBAN,2009,July,neutral,2,0.04999995231628418
HBAN,2009,May,negative,2,-0.2799999713897705
HOLX,2021,October,negative,2,-1.1300048828125
HOLX,2022,November,neutral,2,1.5400009155273438
HSIC,2016,December,negative,2,0.007843017578125
HSIC,2017,December,negative,2,-0.3294105529785156
HSIC,2017,March,negative,2,-0.20392608642578125
HSIC,2017,November,neutral,6,0.5542475382486979
HSIC,2017,November,positive,2,0.0313720703125
HSIC,2017,September,negative,2,0.47843170166015625
HSIC,2018,September,negative,2,0.133331298828125
HSIC,2020,March,negative,2,-0.5
IDXX,2016,December,negative,2,0.2700042724609375
IDXX,2016,July,neutral,2,0.6200027465820455
IDXX,2016,October,negative,2,2.0999984741210795
IDXX,2017,February,positive,4,6.665000915527344
IDXX,2017,July,positive,2,-4.0099945068359375
IDXX,2017,July,negative,2,-4.0099945068359375
IDXX,2018,August,positive,2,2.229995727539034
IDXX,2019,January,negative,2,-2.100006103515625
IDXX,2020,April,positive,2,-7.149993896484375
ILMN,2018,November,negative,2,0.8800048828125
ILMN,2019,December,neutral,2,1.69000244140625
ILMN,2019,July,positive,2,-7.649993896484375
ILMN,2019,September,positive,2,-1.20001220703125
ILMN,2020,September,positive,2,3.260009765625
ILMN,2020,September,neutral,2,3.260009765625
ILMN,2021,April,negative,2,-9.519989013671875
ILMN,2021,April,positive,2,-9.519989013671875
ILMN,2021,December,positive,2,11.139984130859432
ILMN,2022,January,negative,2,39.07998657226568
INCY,2007,April,positive,2,0.19999980926513672
INCY,2014,March,positive,2,-0.8299980163574219
INCY,2014,May,neutral,2,1.5400009155273438
INCY,2018,May,positive,2,1.4800033569335938
INCY,2018,May,negative,2,0.5100021362304688
INCY,2019,February,neutral,2,-0.470001220703125
INCY,2019,January,positive,2,2.5499954223632812
INCY,2022,August,negative,2,1.1299972534179688
INCY,2022,June,negative,2,-1.8899993896484375
INCY,2022,November,negative,2,-1.589996337890625
INTU,2019,May,positive,2,-8.639999389648494
INTU,2020,August,neutral,2,-4.42999267578125
INTU,2020,August,positive,2,-14.519989013671875
INTU,2021,February,neutral,2,0.970001220703125
INTU,2021,October,neutral,2,11.79998779296875
INTU,2021,September,positive,2,-12.77001953125
INTU,2022,August,negative,2,-4.559997558593807
ISRG,2011,December,positive,2,0.9333343505859375
ISRG,2013,July,positive,4,-0.15611076354980113
ISRG,2013,June,positive,2,-0.5699996948242188
ISRG,2013,May,positive,2,0.7299995422363281
ISRG,2014,April,neutral,2,0.8388900756835866
JKHY,2010,January,neutral,2,-0.14999961853027344
JKHY,2013,August,positive,2,1.0200004577636719
JKHY,2014,September,neutral,2,0.18000030517578125
JKHY,2015,August,positive,2,0.4499969482421875
JKHY,2017,February,positive,2,-0.09999847412110796
JKHY,2018,November,neutral,2,-3.350006103515625
JKHY,2019,January,positive,2,-0.25
JKHY,2020,November,positive,2,-14.459991455078125
JKHY,2021,February,negative,2,0.6100006103515625
JKHY,2021,September,negative,2,0.9399871826171875
LRCX,2012,October,positive,2,0.1100006103515625
LRCX,2012,October,neutral,4,-0.16500091552734375
LRCX,2014,July,negative,2,0.18000030517578125
LRCX,2015,April,neutral,2,0.9399948120117188
LRCX,2016,October,positive,2,1.4599990844726705
LRCX,2017,April,neutral,2,2.30999755859375
